Deadline,Scholarship Name,Award amount,Education Level,Link,Open date,Eligibility
December 12,Lois Britt Memorial Pork Industry Scholarship,"$2,500",Undergraduate,https://nppc.org/britt-scholarship/,,"Be a current undergraduate student in a two-year swine program or four-year college of agriculture.
Be a U.S. citizen. High school students are not eligible."
December 15,Burger King Foundation,"$1,000-$60,000",High school,https://www.burgerkingfoundation.org/programs/burger-king-sm-scholars,October 15,Deserving high school seniors attending college or post-secondary vocational/technical school
December 15,AvaCare Medical Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.avacaremedical.com/scholarship?srsltid=AfmBOopE5cADld8lRDxvWRVsDsyyKqZT9n7eYmEainoCH7NVvHKHe3GM,,"Citizen of the United States or in possession of an Alien Registration Card
High school senior or enrolled in an accredited U.S. college or university
Achieved a minimum cumulative GPA of 3.0
Pursuing a degree in the medical field such as therapy, nursing, medicine, nutrition, laboratory science, dentistry, health law, etc."
December 18,Autism Scholarship Contest,"$1,000","High school, Undergraduate, Graduate",https://www.jkphoenixpersonalinjuryattorney.com/autism-scholarship-contest/,,"Applicants must (a) be citizens of the United States, (b) diagnosed with autism, (c) who would like to further their education beyond the secondary school (high school) level"
December 20,Innovation in Education Scholarship,$500,"High school, Undergraduate, Graduate",https://www.latutors123.com/scholarships/innovation-in-education/,,"Must currently be enrolled as a high school, college/university, or graduate student.
Must have a cumulative GPA of at least 3.0 (or the equivalent)."
December 31,RevPart STEM Scholarship,"$500-$2,000","High school, Undergraduate, Graduate",https://revpart.com/scholarship/,,"Any student majoring in a STEM field that is attending an accredited college in the USA may apply
Candidates must be planning or currently attend a accredited college in the USA
Must be planning or currently pursuing a career in a STEM field
Must be planning to attend a college in the United States"
December 31,National High School Poetry Contest,$100-$500,High school,https://www.highschoolpoetrycontest.com/to-enter.html,,All U.S. high school students are eligible to enter this contest. 
December 31,Kitchen Cabinet Kings' Entrepreneur Scholarship,"$2,500","High school, Undergraduate, Graduate",https://kitchencabinetkings.com/scholarship,,"Any U.S. citizen currently enrolled or planning to enroll in an accredited U.S. college, university, or trade school during the upcoming academic year. This includes undergraduate, graduate, and trade school students."
December 31,The Achieve Today Scholarship Fund,"$1,000","Undergraduate, Graduate",https://www.achievetoday.com/scholarships,,Applicants must be 18 years of age or older and a current student of an accredited US university or college
December 31,Ron Hubbard Writers of The Future Contest,"$500, $750, $1,000","High school, Undergraduate, Graduate",https://www.writersofthefuture.com/enter-writer-contest/,April 1,New writers of science fiction and fantasy
December 31,Ron Hubbard Illustrators of The Future Contest,$500,"High school, Undergraduate, Graduate",https://writersofthefuture.com/enter-the-illustrator-contest/,April 1,New science fiction and fantasy artists
December 31,All Star Verified Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.verifiedscholarships.com/scholarship-program/,September 1,"This scholarship is open to high school, college, graduate, or adult students and parents of high school and college students."
December 31,Regions Riding Forward Scholarship Contest,"$8,000","High school, Undergraduate",https://www.regions.com/about-regions/inclusion-belonging-impact/supporting-communities/essay-contest-scholarship,October 1,"Be a legal U.S. resident of one of the Eligible States: Alabama, Arkansas, Florida, Georgia, Iowa, Illinois, Indiana, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, South Carolina, Tennessee and Texas
Be age 16 or older.
Have at least one (1) year (or at least 18 semester hours) remaining before your undergraduate college graduation.
If you are not yet in college, begin your freshman year of college no later than the start of the 2027 – 2028 college academic school year.
As of your most recent school enrollment period, have a cumulative grade point average of at least 2.0 in school (and if no GPA is provided at school, be in “good standing” or the equivalent thereof in school)."
December 31,College JumpStart Love of Learning Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.jumpstart-scholarship.net/application-love-of-learning-scholarship,,"Current student (high school 10th-12th or college) or planning to enter college within the next 12 months
U.S. citizen or legal resident"
December 31,Micklin Law Group Educational Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.micklinlawgroup.com/educational-scholarships/,,Applicants must be accepted into an accredited college in the United States.
December 31,The Home Depot Foundation Path to Pro Scholarship,"$2,500","High school, Undergraduate, Graduate",https://webportalapp.com/sp/login/skillpointefoundation_homedepot-pathtopro,,"Be a high school senior, high school graduate or have a GED equivalent.
Plan to enroll, or be enrolled within 1 year, in an approved trade-related program at an accredited two-year school or institution (i.e. technical/vocational school, community college or training center) in the United States.
Programs/Career Paths: Carpentry, Construction Management, Electrical, HVAC, Plumbing."
December 31,MPOWER Global Citizen Scholarship,"$1,000-$8,000","High school, Undergraduate, Graduate",https://www.mpowerfinancing.com/scholarships/global-citizen#gcscholarship,,"Be accepted at, or enrolled in, a full-time degree program at an MPOWER-eligible school in the U.S. or Canada
Be an international student allowed to legally study in the U.S. or Canada, as applicable:
For study in the U.S., this means that the applicant meets one of these criteria: Has a valid visa that permits study in the U.S. OR Is protected under the Deferred Action for Childhood Arrivals (DACA) OR Is a U.S. permanent resident (Green Card holder)
For study in Canada, this means the applicant meets one of these criteria: Is a Canadian permanent resident OR Has a valid Canadian study permit"
December 31,MPOWER Women in STEM Scholarship,"$1,000-$6,000","High school, Undergraduate, Graduate",https://www.mpowerfinancing.com/scholarships/women-in-stem#schoollist,,"Be accepted at, or enrolled in, a full-time degree program at an MPOWER-eligible school in the U.S. or Canada
Be an international student allowed to legally study in the U.S. or Canada, as applicable:
For study in the U.S., this means that the applicant meets one of these criteria: Has a valid visa that permits study in the U.S. OR Is protected under the Deferred Action for Childhood Arrivals (DACA) ORIs a U.S. permanent resident (Green Card holder)
For study in Canada, this means the applicant meets one of these criteria: Is a Canadian permanent resident OR Has a valid Canadian study permit"
